osste_question_bank_v2
id,category,question,emotion_tags,followup_type,depth_level,locale_variant
1,Childhood & Early Memories,"What is your earliest memory, and how old were you?",nostalgia|warmth|innocence,sensory|timeline|why_how,1,en-US
2,Childhood & Early Memories,What did your childhood bedroom look like?,nostalgia|warmth|innocence,sensory|timeline|why_how,1,en-US
3,Childhood & Early Memories,Which smells or sounds instantly take you back to childhood?,nostalgia|warmth|innocence,sensory|timeline|why_how,1,en-US
4,Childhood & Early Memories,Who was your best childhood friend and how did you meet?,nostalgia|warmth|innocence,sensory|timeline|why_how,1,en-US
5,Childhood & Early Memories,What games or activities did you love most as a kid?,nostalgia|warmth|innocence,sensory|timeline|why_how,1,en-US
6,Childhood & Early Memories,What was a typical weekend like in your family when you were little?,nostalgia|warmth|innocence,sensory|timeline|why_how,1,en-US
7,Childhood & Early Memories,What made you feel safe or comforted as a child?,nostalgia|warmth|innocence,sensory|timeline|why_how,1,en-US
8,Childhood & Early Memories,Which family routines do you remember most vividly?,nostalgia|warmth|innocence,sensory|timeline|why_how,1,en-US
9,Childhood & Early Memories,What did you want to be when you grew up—and why?,nostalgia|warmth|innocence,sensory|timeline|why_how,2,en-US
10,Childhood & Early Memories,What rule at home felt unfair back then?,nostalgia|warmth|innocence,sensory|timeline|why_how,2,en-US
11,Childhood & Early Memories,What was your favorite place to hide or play?,nostalgia|warmth|innocence,sensory|timeline|why_how,1,en-US
12,Childhood & Early Memories,"Which book, movie, or show defined your childhood?",nostalgia|warmth|innocence,sensory|timeline|why_how,1,en-US
13,Childhood & Early Memories,What is a time you got in trouble—and what did you learn?,nostalgia|warmth|innocence,sensory|timeline|why_how,2,en-US
14,Childhood & Early Memories,Which holiday from childhood stands out the most to you?,nostalgia|warmth|innocence,sensory|timeline|why_how,1,en-US
15,Childhood & Early Memories,What did the outside of your home/neighborhood feel like?,nostalgia|warmth|innocence,sensory|timeline|why_how,1,en-US
16,Childhood & Early Memories,What was your favorite meal or snack as a kid?,nostalgia|warmth|innocence,sensory|timeline|why_how,1,en-US
17,Childhood & Early Memories,Who were your heroes growing up?,nostalgia|warmth|innocence,sensory|timeline|why_how,1,en-US
18,Childhood & Early Memories,What made you laugh the hardest as a child?,nostalgia|warmth|innocence,sensory|timeline|why_how,1,en-US
19,Childhood & Early Memories,What is a small detail from your childhood home you still remember?,nostalgia|warmth|innocence,sensory|timeline|why_how,2,en-US
20,Childhood & Early Memories,"If you could relive one childhood day, which would it be and why?",nostalgia|warmth|innocence,sensory|timeline|why_how,2,en-US
21,Family & Home Life,How would you describe your parents’ relationship?,belonging|love|roots,why_how|narrative|reflection,2,en-US
22,Family & Home Life,What are the most important lessons you learned from your parents or caregivers?,belonging|love|roots,why_how|narrative|reflection,2,en-US
23,Family & Home Life,What roles did siblings (or cousins) play in your life?,belonging|love|roots,why_how|narrative|reflection,2,en-US
